,name,ecoystem_wealth,year,NC_growth,locid,Nat_PC,iso_code,AREA,Urban_land,country,Urban_land_national,proportion_sum_urban,PC,Total_population,average_year_edu,Average_income,Human_capital_total,name_encoded,IWI,IWI_per_ha,ecoystem_wealth_per_ha,PC_per_ha,Human_capital_total_per_ha,IWI_per_ha_cap,ecoystem_wealth_per_ha_cap,PC_per_ha_cap,Human_capital_total_per_ha_cap,POLY_AREA
0,Battambang,3411639.0,2010.0,,116.0,21333311378.6873,KHM,0.000293995437851,4048.0,Cambodia,238245.0,0.016990913,362472450.0,71673.234,4.451,2798.682,1859228700.0,Battambang City Hall,2225112800.0,7568528000000.0,11604394000.0,1232918700000.0,6324005400000.0,105597700.0,161906.94,17201940.0,88233850.0,14.0442841842494
1,Battambang,4858205.0,2020.0,42.40091,116.0,48130558081.5753,KHM,0.000438523827506,6038.0,Cambodia,485003.0,0.012449408,599196900.0,92561.39,5.366,5092.454,4655179300.0,Battambang City Hall,5259234300.0,11993041000000.0,11078542000.0,1366395300000.0,10615567000000.0,129568504.0,119688.59,14762044.0,114686776.0,20.909098345
2,Chbar Mon,731924.0,2010.0,,116.0,21333311378.6873,KHM,3.78388397037e-05,521.0,Cambodia,238245.0,0.0021868246,46652210.0,7238.681,4.653,2190.053,143275940.0,Chbar Mon Municipality Hall,190660060.0,5038739600000.0,19343194000.0,1232918500000.0,3786478000000.0,696085300.0,2672198.8,170323650.0,523089470.0,2.968846180277
3,Chbar Mon,2308567.0,2020.0,215.41075,116.0,48130558081.5753,KHM,0.000152226886792,2096.0,Cambodia,485003.0,0.0043216227,208002110.0,18641.492,5.054,3559.613,616357000.0,Chbar Mon Municipality Hall,826667650.0,5430497000000.0,15165304000.0,1366395300000.0,4048936500000.0,291312350.0,813524.1,73298600.0,217200240.0,8.8487494764
4,Kampong Cham,1488585.0,2010.0,,116.0,21333311378.6873,KHM,0.000106181158631,1462.0,Cambodia,238245.0,0.0061365403,130912730.0,31754.855,3.52,2183.504,570787000.0,Kampong Cham Provincial Hall,703188350.0,6622534400000.0,14019295000.0,1232918700000.0,5375596000000.0,208551870.0,441485.1,38826148.0,169284220.0,5.497672878202
5,Kampong Cham,3027610.0,2020.0,103.38845,116.0,48130558081.5753,KHM,0.000233133734067,3210.0,Cambodia,485003.0,0.0066185156,318552860.0,47882.78,4.129,3646.861,1515071200.0,Kampong Cham Provincial Hall,1836651600.0,7878103500000.0,12986580000.0,1366395500000.0,6498721700000.0,164528940.0,271216.06,28536260.0,135721470.0,11.4476891649
6,Kampot,929455.0,2010.0,,116.0,21333311378.6873,KHM,5.49788899341e-05,757.0,Cambodia,238245.0,0.0031774014,67784500.0,11651.6,4.258,2239.424,229442980.0,Kampot Provincial Hall,298156930.0,5423116600000.0,16905671000.0,1232918500000.0,4173292400000.0,465439650.0,1450931.2,105815390.0,358173340.0,2.9468567359693
7,Kampot,1904546.0,2020.0,104.90997,116.0,48130558081.5753,KHM,0.000117511022343,1618.0,Cambodia,485003.0,0.0033360617,160566510.0,19271.277,5.258,3713.381,681616500.0,Kampot Provincial Hall,844087550.0,7183050000000.0,16207382000.0,1366395300000.0,5800447700000.0,372733470.0,841012.3,70903210.0,300989280.0,5.74202687363
8,Poipet,4607325.0,2010.0,,116.0,21333311378.6873,KHM,0.000419204957331,5772.0,Cambodia,238245.0,0.024227161,516845570.0,61159.65,3.48,2707.994,1436382600.0,Poipet City Hall Office,1957835500.0,4670354000000.0,10990626000.0,1232918500000.0,3426444600000.0,76363320.0,179703.88,20159020.0,56024596.0,17.9457718526025
9,Poipet,5990894.0,2020.0,30.029768,116.0,48130558081.5753,KHM,0.00063875738041,8795.0,Cambodia,485003.0,0.018133909,872795140.0,135622.55,4.398,5181.806,6546695000.0,Poipet City Hall Office,7425481000.0,11624885000000.0,9378982000.0,1366395300000.0,10249111000000.0,85714984.0,69155.03,10074986.0,75570850.0,25.2143876908
10,Preah Vihear,25284.0,2010.0,,116.0,21333311378.6873,KHM,1.4525466297e-06,20.0,Cambodia,238245.0,8.39472e-05,1790871.8,286.22247,3.54,1875.496,4331816.0,Preah Vihear City Hall,6147972.0,4232547100000.0,17406670000.0,1232918500000.0,2982221700000.0,14787613000.0,60815180.0,4307553300.0,10419244000.0,0.119895789577
11,Preah Vihear,290899.0,2020.0,1050.526,116.0,48130558081.5753,KHM,1.48159756229e-05,204.0,Cambodia,485003.0,0.00042061595,20244480.0,2936.4463,3.742,2851.845,69608120.0,Preah Vihear City Hall,90143496.0,6084209000000.0,19634143000.0,1366395300000.0,4698180000000.0,2071963400.0,6686362.0,465322780.0,1599954300.0,1.15267139096
12,Sangkat Bavet,1215254.0,2010.0,,116.0,21333311378.6873,KHM,9.10746736821e-05,1254.0,Cambodia,238245.0,0.005263489,112287656.0,5109.9453,3.631,2155.353,93736264.0,Sangkat Bavet,207239170.0,2275486200000.0,13343490000.0,1232918500000.0,1029224300000.0,445305400.0,2611278.5,241278220.0,201415900.0,4.918093159315901
13,Sangkat Bavet,2292595.0,2020.0,88.651505,116.0,48130558081.5753,KHM,0.000217954621786,3001.0,Cambodia,485003.0,0.006187591,297812200.0,10064.545,5.183,3884.375,378055550.0,Sangkat Bavet,678160300.0,3111475000000.0,10518681000.0,1366395500000.0,1734560800000.0,309152060.0,1045122.3,135763260.0,172343700.0,10.0059117676
14,Serei Sophoan,1928311.0,2010.0,,116.0,21333311378.6873,KHM,0.000174305595564,2400.0,Cambodia,238245.0,0.010073664,214904600.0,28183.78,3.48,2707.994,661961340.0,Serei Sophoan City Hall,878794240.0,5041687000000.0,11062818000.0,1232918500000.0,3797705600000.0,178886130.0,392524.28,43745680.0,134747920.0,7.7593332416947005
15,Serei Sophoan,2791778.0,2020.0,44.778408,116.0,48130558081.5753,KHM,0.000274095549024,3774.0,Cambodia,485003.0,0.007781395,374522880.0,34008.375,4.398,5181.806,1642026500.0,Serei Sophoan City Hall,2019341200.0,7367289000000.0,10185419000.0,1366395300000.0,5990708000000.0,216631620.0,299497.38,40178200.0,176153900.0,11.3854544842
16,Siem Reap,3306151.0,2010.0,,116.0,21333311378.6873,KHM,0.000227977193531,3139.0,Cambodia,238245.0,0.013175513,281077300.0,82237.92,3.459,2224.571,1563753700.0,Siem Reap City Hall,1848137200.0,8106676000000.0,14502113000.0,1232918500000.0,6859255000000.0,98575880.0,176343.38,14992093.0,83407450.0,13.447563485123599
17,Siem Reap,4967346.0,2020.0,50.245586,116.0,48130558081.5753,KHM,0.000380785098976,5243.0,Cambodia,485003.0,0.010810242,520302980.0,185261.1,3.817,3640.647,5940780000.0,Siem Reap City Hall,6466050600.0,16980839000000.0,13045011000.0,1366395300000.0,15601398000000.0,91658960.0,70414.195,7375511.5,84213030.0,20.8072986326
18,Sihanoukville,1576920.0,2010.0,,116.0,21333311378.6873,KHM,0.000104074966018,1433.0,Cambodia,238245.0,0.0060148165,128315950.0,24676.398,4.258,2239.424,535055940.0,Sihanoukville City Hall,664948800.0,6389133000000.0,15151771000.0,1232918500000.0,5141063000000.0,258916750.0,614018.75,49963470.0,208339260.0,5.83684354896129
19,Sihanoukville,3163804.0,2020.0,100.63187,116.0,48130558081.5753,KHM,0.000203211273495,2798.0,Cambodia,485003.0,0.0057690367,277666940.0,42278.63,5.258,3713.381,1638587600.0,Sihanoukville City Hall,1919418400.0,9445432000000.0,15569037000.0,1366395300000.0,8063468000000.0,223409140.0,368248.4,32318818.0,190722080.0,10.3199821381
20,Suong,231200.0,2010.0,,116.0,21333311378.6873,KHM,8.57002511522e-06,118.0,Cambodia,238245.0,0.00049528846,10566143.0,3750.4092,3.52,2183.504,67406670.0,Suong City Hall,78204020.0,9125296000000.0,26977751000.0,1232918500000.0,7865399500000.0,2433146600.0,7193282.0,328742400.0,2097211000.0,0.9494065608499
21,Suong,666262.0,2020.0,188.1756,116.0,48130558081.5753,KHM,4.24143615872e-05,584.0,Cambodia,485003.0,0.0012041163,57954788.0,7764.541,4.129,3646.861,245639420.0,Suong City Hall,304260480.0,7173525000000.0,15708406000.0,1366395300000.0,5791421000000.0,923882700.0,2023095.2,175978900.0,745880640.0,2.63380657924
22,Phnom Penh,58921390.0,2010.0,,116.0,21333311378.6873,KHM,0.005108025478,70332.0,Cambodia,238245.0,0.29520872,6297779700.0,1344280.2,4.794,3063.786,47477154000.0,The 252 Boutique Hotel,53833855000.0,10539074000000.0,11535062000.0,1232918700000.0,9294620000000.0,7839938.0,8580.846,917158.94,6914198.0,208.4015174077143
23,Phnom Penh,103762202.0,2020.0,76.102776,116.0,48130558081.5753,KHM,0.00967475945444,133211.0,Cambodia,485003.0,0.27466017,13219547000.0,2488337.0,5.151,5049.218,145963500000.0,The 252 Boutique Hotel,159286800000.0,16464162000000.0,10725042000.0,1366395500000.0,15087042000000.0,6616532.0,4310.1245,549119.94,6063102.0,383.463642716
24,Krong Ban Lung,21052.0,2010.0,,116.0,21333311378.6873,KHM,1.01678264079e-06,14.0,Cambodia,238245.0,5.876304e-05,1253610.2,530.37244,2.842,1898.096,7573642.5,邦隆市政厅,8848305.0,8702258000000.0,20704524000.0,1232918700000.0,7448634600000.0,16407824000.0,39037708.0,2324628200.0,14044159000.0,0.100585585607
25,Krong Ban Lung,133376.0,2020.0,533.555,116.0,48130558081.5753,KHM,6.7543418281e-06,93.0,Cambodia,485003.0,0.00019175139,9229101.0,4959.6436,3.828,3608.507,148154430.0,邦隆市政厅,157516910.0,23320838000000.0,19746705000.0,1366395300000.0,21934696000000.0,4702120000.0,3981476.8,275502720.0,4422635500.0,0.509157627048
